City,Region,Neighborhood,Property Type,Area (sqm),Bedrooms,Bathrooms,Floor Number,Elevator,Property Age (years),Furnished,Listing Type,Selling Price (SAR)
Riyadh,West,Shubra,apartment,138,4,4,4,Yes,8,Yes,Sale,459219.35
Riyadh,West,Al-Oraija,apartment,274,4,2,2,Yes,8,Yes,Sale,810905.38
Riyadh,East,Al-Sulay,apartment,185,1,2,3,No,9,Yes,Sale,797967.69
Riyadh,North,Al-Yasmeen,apartment,272,4,2,3,No,6,No,Sale,2245339.91
Riyadh,West,Al-Oraija Al-Gharbi (Western Oraija),apartment,244,2,3,5,Yes,2,No,Sale,827890.53
Riyadh,North,Al-Malqa,apartment,279,4,3,3,No,1,No,Sale,2534470.29
Riyadh,North,Al-Falah,apartment,116,1,2,2,No,4,No,Sale,1140348.96
Riyadh,South,Al-Shifa,apartment,192,3,4,1,Yes,1,Yes,Sale,247439.19
Riyadh,North,Al-Malqa,apartment,188,4,1,2,No,3,No,Sale,1990004.54
Riyadh,North,Al-Yasmeen,apartment,202,1,4,4,Yes,8,Yes,Sale,2423479.8
Riyadh,Central,Al-Malaz,apartment,170,1,4,3,Yes,3,No,Sale,287188.29
Riyadh,Central,Al-Malaz,apartment,107,1,3,3,Yes,3,Yes,Sale,187226.3
Riyadh,South,Al-Khalidiyah,apartment,245,4,1,1,No,3,No,Sale,309838.93
Riyadh,East,Al-Rimal,apartment,268,4,2,4,Yes,4,Yes,Sale,856219.22
Riyadh,Central,Al-Yamamah,apartment,115,3,3,4,No,2,No,Sale,147534.54
Riyadh,Central,Al-Morouj,apartment,233,2,3,3,Yes,8,Yes,Sale,371617.86
Riyadh,South,Al-Shifa,apartment,207,4,3,3,Yes,7,No,Sale,172392.78
Riyadh,North,Al-Nakheel Al-Gharbi (Western Nakheel),apartment,270,3,3,1,Yes,5,Yes,Sale,2676931.95
Riyadh,Central,Al-Batha,apartment,161,3,1,4,No,9,No,Sale,237346.47
Riyadh,West,Tuwaiq,apartment,171,2,3,5,Yes,8,Yes,Sale,644800.55
Riyadh,West,Shubra,apartment,218,1,4,2,Yes,8,No,Sale,658910.51
Riyadh,Central,Al-Wurud,apartment,257,2,1,3,No,2,No,Sale,417867.38
Riyadh,East,Al-Rayan,apartment,234,4,1,2,No,10,No,Sale,840352.65
Riyadh,North,Al-Aarid,apartment,110,3,3,5,Yes,8,Yes,Sale,942508.53
Riyadh,East,Al-Yarmouk,apartment,93,3,3,4,No,8,Yes,Sale,282786.4
Riyadh,South,Al-Difa,apartment,272,1,2,4,No,3,No,Sale,367236.05
Riyadh,South,Al-Shifa,apartment,235,4,2,2,No,5,No,Sale,223551.02
Riyadh,North,Al-Qirawan,apartment,156,1,1,2,No,7,Yes,Sale,1505892.33
Riyadh,South,Al-Marwah,apartment,134,1,1,4,No,5,Yes,Sale,139313.79
Riyadh,East,Al-Khaleej,apartment,279,1,1,3,No,5,Yes,Sale,1272093.43
Riyadh,North,Al-Falah,apartment,249,4,2,3,No,6,No,Sale,2074730.34
Riyadh,West,Tuwaiq,apartment,103,1,4,3,Yes,8,No,Sale,316128.05
Riyadh,East,Al-Khaleej,apartment,236,1,3,1,Yes,10,Yes,Sale,769080.63
Riyadh,South,Badr,apartment,277,3,4,4,Yes,2,No,Sale,291719.6
Riyadh,North,Al-Aqiq,apartment,206,4,1,3,Yes,4,Yes,Sale,1693311.09
Riyadh,West,Dhahret Laban,apartment,170,1,4,1,Yes,8,No,Sale,348420.61
Riyadh,West,Al-Suwaidi Al-Gharbi (Western Suwaidi),apartment,123,4,1,3,Yes,4,Yes,Sale,394419.85
Riyadh,South,Al-Khalidiyah,apartment,284,3,3,2,Yes,5,No,Sale,420212.92
Riyadh,North,Al-Nakheel Al-Gharbi (Western Nakheel),apartment,191,3,3,1,Yes,8,No,Sale,1756884.9
Riyadh,North,Al-Wadi,apartment,104,2,2,1,Yes,9,No,Sale,1205283.98
Riyadh,North,Al-Ghadeer,apartment,239,2,4,3,No,4,Yes,Sale,2192105.16
Riyadh,East,Al-Khaleej,apartment,91,1,2,5,No,6,No,Sale,419954.33
Riyadh,North,Al-Qirawan,apartment,254,1,3,3,Yes,5,No,Sale,2402793.13
Riyadh,East,Al-Rawdah,apartment,281,1,4,3,Yes,8,No,Sale,873064.87
Riyadh,Central,Al-Malaz,apartment,236,1,3,4,Yes,4,Yes,Sale,250320.98
Riyadh,West,Dhahret Laban,apartment,129,4,1,2,No,5,No,Sale,440964.09
Riyadh,West,Al-Suwaidi,apartment,270,2,1,3,No,4,Yes,Sale,690912.46
Riyadh,North,Al-Nada,apartment,240,2,2,3,Yes,8,No,Sale,2044629.95
Riyadh,North,Al-Aarid,apartment,138,3,4,3,Yes,10,No,Sale,1328463.74
Riyadh,Central,Al-Batha,apartment,248,1,4,1,Yes,4,No,Sale,282329.33
Riyadh,Central,Al-Morouj,apartment,100,1,1,5,No,7,Yes,Sale,154780.79
Riyadh,North,Al-Qirawan,apartment,222,2,2,5,No,8,Yes,Sale,2507741.96
Riyadh,West,Dhahiyat Laban (Laban Suburb),apartment,197,1,4,2,No,1,Yes,Sale,695613.48
Riyadh,South,Al-Marwah,apartment,129,4,2,1,Yes,7,Yes,Sale,191285.88
Riyadh,Central,Al-Morouj,apartment,273,2,2,2,Yes,8,Yes,Sale,406202.48
Riyadh,East,Qurtubah,apartment,130,1,2,4,Yes,4,Yes,Sale,463751.11
Riyadh,West,Al-Mousa,apartment,249,1,4,3,No,8,Yes,Sale,721769.52
Riyadh,South,Badr,apartment,160,2,4,3,Yes,5,Yes,Sale,137376.52
